date,open,high,low,close,volume,average,barCount
2015-05-29,1.096425,1.100645,1.09259,1.098775,-1.0,-1.0,-1
2015-06-01,1.09865,1.099025,1.088715,1.09273,-1.0,-1.0,-1
2015-06-02,1.09229,1.11945,1.091615,1.115085,-1.0,-1.0,-1
2015-06-03,1.11521,1.128525,1.107945,1.127425,-1.0,-1.0,-1
2015-06-04,1.127145,1.137995,1.122255,1.123795,-1.0,-1.0,-1
2015-06-05,1.123105,1.12814,1.104945,1.11153,-1.0,-1.0,-1
2015-06-08,1.110575,1.130695,1.10844,1.12912,-1.0,-1.0,-1
2015-06-09,1.12845,1.134615,1.12142,1.128255,-1.0,-1.0,-1
2015-06-10,1.128055,1.138655,1.12597,1.13244,-1.0,-1.0,-1
2015-06-11,1.13255,1.133195,1.118195,1.12579,-1.0,-1.0,-1
2015-06-12,1.125845,1.12968,1.115135,1.126625,-1.0,-1.0,-1
2015-06-15,1.122095,1.12944,1.11894,1.12834,-1.0,-1.0,-1
2015-06-16,1.12805,1.13299,1.1205,1.12476,-1.0,-1.0,-1
2015-06-17,1.124925,1.135795,1.120465,1.13378,-1.0,-1.0,-1
2015-06-18,1.133575,1.143655,1.133045,1.13588,-1.0,-1.0,-1
2015-06-19,1.136875,1.139785,1.129205,1.134775,-1.0,-1.0,-1
2015-06-22,1.137225,1.141035,1.131165,1.13407,-1.0,-1.0,-1
2015-06-23,1.13335,1.134755,1.113505,1.11675,-1.0,-1.0,-1
2015-06-24,1.11598,1.123525,1.11587,1.120495,-1.0,-1.0,-1
2015-06-25,1.120595,1.122785,1.115385,1.120405,-1.0,-1.0,-1
2015-06-26,1.120475,1.121995,1.112945,1.11701,-1.0,-1.0,-1
2015-06-29,1.099125,1.127835,1.095445,1.123595,-1.0,-1.0,-1
2015-06-30,1.123925,1.124445,1.111205,1.114725,-1.0,-1.0,-1
2015-07-01,1.113675,1.117145,1.10428,1.105325,-1.0,-1.0,-1
2015-07-02,1.105275,1.11215,1.10323,1.10841,-1.0,-1.0,-1
2015-07-03,1.108425,1.111785,1.106515,1.111225,-1.0,-1.0,-1
2015-07-06,1.099605,1.10959,1.096975,1.1056,-1.0,-1.0,-1
2015-07-07,1.105575,1.105915,1.091645,1.10108,-1.0,-1.0,-1
2015-07-08,1.1005,1.109295,1.097435,1.10761,-1.0,-1.0,-1
2015-07-09,1.10755,1.112515,1.09918,1.10365,-1.0,-1.0,-1
2015-07-10,1.1034,1.12162,1.10308,1.11555,-1.0,-1.0,-1
2015-07-13,1.11115,1.11969,1.09958,1.10021,-1.0,-1.0,-1
2015-07-14,1.100375,1.108465,1.096495,1.100905,-1.0,-1.0,-1
2015-07-15,1.100975,1.10356,1.092995,1.09488,-1.0,-1.0,-1
2015-07-16,1.09484,1.09628,1.085565,1.087385,-1.0,-1.0,-1
2015-07-17,1.088,1.090695,1.082865,1.082975,-1.0,-1.0,-1
2015-07-20,1.083525,1.08703,1.08087,1.08254,-1.0,-1.0,-1
2015-07-21,1.082425,1.096955,1.081165,1.09345,-1.0,-1.0,-1
2015-07-22,1.093775,1.09669,1.08694,1.092895,-1.0,-1.0,-1
2015-07-23,1.092805,1.10181,1.092185,1.098395,-1.0,-1.0,-1
2015-07-24,1.0989,1.099595,1.092545,1.098115,-1.0,-1.0,-1
2015-07-27,1.0979,1.112995,1.09692,1.10878,-1.0,-1.0,-1
2015-07-28,1.10925,1.10996,1.102225,1.10599,-1.0,-1.0,-1
2015-07-29,1.106075,1.10841,1.09671,1.09835,-1.0,-1.0,-1
2015-07-30,1.09835,1.098955,1.089345,1.093225,-1.0,-1.0,-1
2015-07-31,1.0933,1.111435,1.09212,1.09843,-1.0,-1.0,-1
2015-08-03,1.097375,1.099625,1.094135,1.09499,-1.0,-1.0,-1
2015-08-04,1.09519,1.098775,1.087925,1.08813,-1.0,-1.0,-1
2015-08-05,1.08864,1.093765,1.084815,1.09058,-1.0,-1.0,-1
2015-08-06,1.090375,1.09439,1.087355,1.09245,-1.0,-1.0,-1
2015-08-07,1.0922,1.097845,1.085535,1.096625,-1.0,-1.0,-1
2015-08-10,1.096475,1.10415,1.092545,1.101905,-1.0,-1.0,-1
2015-08-11,1.102075,1.10884,1.096045,1.1042,-1.0,-1.0,-1
2015-08-12,1.10425,1.12143,1.10244,1.115885,-1.0,-1.0,-1
2015-08-13,1.115975,1.118885,1.10801,1.11492,-1.0,-1.0,-1
2015-08-14,1.11523,1.11889,1.109795,1.11088,-1.0,-1.0,-1
2015-08-17,1.11155,1.112495,1.105865,1.10781,-1.0,-1.0,-1
2015-08-18,1.1077,1.109385,1.101685,1.10225,-1.0,-1.0,-1
2015-08-19,1.102875,1.113435,1.10178,1.112055,-1.0,-1.0,-1
2015-08-20,1.111975,1.124475,1.11072,1.124155,-1.0,-1.0,-1
2015-08-21,1.12385,1.13893,1.122945,1.13865,-1.0,-1.0,-1
2015-08-24,1.137625,1.171495,1.136965,1.161965,-1.0,-1.0,-1
2015-08-25,1.160775,1.160775,1.13964,1.151755,-1.0,-1.0,-1
2015-08-26,1.151925,1.15618,1.1292,1.13145,-1.0,-1.0,-1
2015-08-27,1.131675,1.136455,1.120305,1.124715,-1.0,-1.0,-1
2015-08-28,1.1244,1.13099,1.115585,1.118475,-1.0,-1.0,-1
2015-08-31,1.1174,1.126275,1.116985,1.121075,-1.0,-1.0,-1
2015-09-01,1.12095,1.133215,1.120845,1.131425,-1.0,-1.0,-1
2015-09-02,1.131775,1.131865,1.121665,1.12268,-1.0,-1.0,-1
2015-09-03,1.1226,1.124345,1.10874,1.112355,-1.0,-1.0,-1
2015-09-04,1.11235,1.119425,1.108965,1.11503,-1.0,-1.0,-1
2015-09-07,1.11615,1.11778,1.112155,1.117,-1.0,-1.0,-1
2015-09-08,1.11675,1.12294,1.115255,1.120275,-1.0,-1.0,-1
2015-09-09,1.120325,1.121635,1.11318,1.12072,-1.0,-1.0,-1
2015-09-10,1.120725,1.129555,1.11718,1.128025,-1.0,-1.0,-1
2015-09-11,1.127755,1.134965,1.12543,1.13365,-1.0,-1.0,-1
2015-09-14,1.133275,1.137325,1.128355,1.13167,-1.0,-1.0,-1
2015-09-15,1.131725,1.132885,1.125865,1.12688,-1.0,-1.0,-1
2015-09-16,1.12657,1.13208,1.121405,1.12912,-1.0,-1.0,-1
2015-09-17,1.129075,1.14413,1.12846,1.14351,-1.0,-1.0,-1
2015-09-18,1.143225,1.146035,1.126945,1.129875,-1.0,-1.0,-1
2015-09-21,1.1285,1.13302,1.11813,1.11897,-1.0,-1.0,-1
2015-09-22,1.118925,1.120805,1.11134,1.11201,-1.0,-1.0,-1
2015-09-23,1.1127,1.121365,1.110525,1.11854,-1.0,-1.0,-1
2015-09-24,1.1184,1.129595,1.116465,1.12298,-1.0,-1.0,-1
2015-09-25,1.12003,1.12133,1.11162,1.119895,-1.0,-1.0,-1
2015-09-28,1.119355,1.12478,1.114655,1.12444,-1.0,-1.0,-1
2015-09-29,1.124625,1.12815,1.119385,1.124825,-1.0,-1.0,-1
2015-09-30,1.125145,1.126155,1.11573,1.117635,-1.0,-1.0,-1
2015-10-01,1.11765,1.12092,1.113515,1.119475,-1.0,-1.0,-1
2015-10-02,1.119075,1.13186,1.115055,1.121545,-1.0,-1.0,-1
2015-10-05,1.12215,1.128945,1.117355,1.11878,-1.0,-1.0,-1
2015-10-06,1.119,1.12797,1.11721,1.127205,-1.0,-1.0,-1
2015-10-07,1.1274,1.12845,1.121155,1.123745,-1.0,-1.0,-1
2015-10-08,1.123675,1.132765,1.12347,1.12755,-1.0,-1.0,-1
2015-10-09,1.127675,1.13872,1.126715,1.13585,-1.0,-1.0,-1
2015-10-12,1.136155,1.139715,1.135475,1.13586,-1.0,-1.0,-1
2015-10-13,1.13605,1.14111,1.134425,1.137935,-1.0,-1.0,-1
2015-10-14,1.138275,1.14892,1.137775,1.147415,-1.0,-1.0,-1
2015-10-15,1.147625,1.149525,1.13632,1.13822,-1.0,-1.0,-1
2015-10-16,1.13802,1.13952,1.133395,1.134925,-1.0,-1.0,-1
2015-10-19,1.136,1.137915,1.130595,1.132665,-1.0,-1.0,-1
2015-10-20,1.132745,1.138725,1.132415,1.13464,-1.0,-1.0,-1
2015-10-21,1.134725,1.137765,1.13342,1.133925,-1.0,-1.0,-1
2015-10-22,1.133975,1.13512,1.110035,1.11086,-1.0,-1.0,-1
2015-10-23,1.1108,1.113985,1.099675,1.1017,-1.0,-1.0,-1
2015-10-26,1.100575,1.10684,1.100185,1.105775,-1.0,-1.0,-1
2015-10-27,1.10548,1.107885,1.103025,1.105115,-1.0,-1.0,-1
2015-10-28,1.104395,1.10959,1.08968,1.092235,-1.0,-1.0,-1
2015-10-29,1.09215,1.098595,1.090235,1.097695,-1.0,-1.0,-1
2015-10-30,1.097895,1.107265,1.096565,1.1005,-1.0,-1.0,-1
2015-11-02,1.10306,1.10529,1.10003,1.101575,-1.0,-1.0,-1
2015-11-03,1.101175,1.103025,1.093615,1.09644,-1.0,-1.0,-1
2015-11-04,1.0963,1.09679,1.084415,1.086475,-1.0,-1.0,-1
2015-11-05,1.0869,1.089775,1.083375,1.088395,-1.0,-1.0,-1
2015-11-06,1.08815,1.089385,1.07056,1.074075,-1.0,-1.0,-1
2015-11-09,1.0736,1.078995,1.071945,1.075135,-1.0,-1.0,-1
2015-11-10,1.075075,1.076415,1.067435,1.07244,-1.0,-1.0,-1
2015-11-11,1.07235,1.07738,1.070565,1.0743,-1.0,-1.0,-1
2015-11-12,1.074625,1.083045,1.069125,1.081405,-1.0,-1.0,-1
2015-11-13,1.08125,1.08171,1.071415,1.0772,-1.0,-1.0,-1
2015-11-16,1.0738,1.07582,1.067435,1.06863,-1.0,-1.0,-1
2015-11-17,1.0684,1.069095,1.06308,1.064225,-1.0,-1.0,-1
2015-11-18,1.064435,1.069255,1.06172,1.065955,-1.0,-1.0,-1
2015-11-19,1.06615,1.076325,1.065545,1.073415,-1.0,-1.0,-1
2015-11-20,1.073775,1.07384,1.064035,1.064555,-1.0,-1.0,-1
2015-11-23,1.063875,1.065695,1.059225,1.06362,-1.0,-1.0,-1
2015-11-24,1.06355,1.067335,1.06197,1.064325,-1.0,-1.0,-1
2015-11-25,1.06458,1.06894,1.05658,1.062425,-1.0,-1.0,-1
2015-11-26,1.062355,1.062745,1.060015,1.061055,-1.0,-1.0,-1
2015-11-27,1.06075,1.063815,1.056855,1.059225,-1.0,-1.0,-1
2015-11-30,1.0593,1.05951,1.055785,1.05649,-1.0,-1.0,-1
2015-12-01,1.0568,1.06371,1.05633,1.063255,-1.0,-1.0,-1
2015-12-02,1.06337,1.06337,1.05508,1.061415,-1.0,-1.0,-1
2015-12-03,1.06135,1.098125,1.052175,1.094015,-1.0,-1.0,-1
2015-12-04,1.0937,1.09562,1.083625,1.08785,-1.0,-1.0,-1
2015-12-07,1.08717,1.08875,1.079605,1.08374,-1.0,-1.0,-1
2015-12-08,1.083675,1.090285,1.08303,1.089175,-1.0,-1.0,-1
2015-12-09,1.089425,1.1043,1.087925,1.10247,-1.0,-1.0,-1
2015-12-10,1.10205,1.102415,1.09252,1.09408,-1.0,-1.0,-1
2015-12-11,1.09435,1.103095,1.092665,1.099225,-1.0,-1.0,-1
2015-12-14,1.0988,1.104885,1.094545,1.099175,-1.0,-1.0,-1
2015-12-15,1.099625,1.105975,1.090465,1.09301,-1.0,-1.0,-1
2015-12-16,1.0925,1.101195,1.088785,1.091255,-1.0,-1.0,-1
2015-12-17,1.0909,1.091445,1.080255,1.08259,-1.0,-1.0,-1
2015-12-18,1.083425,1.08746,1.080505,1.086405,-1.0,-1.0,-1
2015-12-21,1.085975,1.093905,1.08481,1.09146,-1.0,-1.0,-1
2015-12-22,1.091375,1.09842,1.090245,1.095655,-1.0,-1.0,-1
2015-12-23,1.09522,1.09571,1.087005,1.091155,-1.0,-1.0,-1
2015-12-24,1.090975,1.096785,1.09043,1.096395,-1.0,-1.0,-1
2015-12-28,1.096425,1.09927,1.09562,1.096835,-1.0,-1.0,-1
2015-12-29,1.0967,1.09917,1.08993,1.09199,-1.0,-1.0,-1
2015-12-30,1.09225,1.094385,1.09021,1.09331,-1.0,-1.0,-1
2015-12-31,1.0931,1.09374,1.08531,1.0866,-1.0,-1.0,-1
2016-01-04,1.08518,1.094645,1.07812,1.08315,-1.0,-1.0,-1
2016-01-05,1.083325,1.083905,1.071075,1.07478,-1.0,-1.0,-1
2016-01-06,1.074765,1.07994,1.071405,1.078015,-1.0,-1.0,-1
2016-01-07,1.077975,1.09403,1.077115,1.093205,-1.0,-1.0,-1
2016-01-08,1.0933,1.0933,1.08033,1.0926,-1.0,-1.0,-1
2016-01-11,1.09275,1.09699,1.08479,1.085925,-1.0,-1.0,-1
2016-01-12,1.08575,1.090025,1.081975,1.08577,-1.0,-1.0,-1
2016-01-13,1.0859,1.08878,1.080505,1.08773,-1.0,-1.0,-1
2016-01-14,1.08795,1.09433,1.083475,1.086495,-1.0,-1.0,-1
2016-01-15,1.086695,1.098475,1.085455,1.091675,-1.0,-1.0,-1
2016-01-18,1.091675,1.09277,1.086905,1.089245,-1.0,-1.0,-1
2016-01-19,1.0891,1.09391,1.085945,1.090785,-1.0,-1.0,-1
2016-01-20,1.09065,1.09761,1.08774,1.08903,-1.0,-1.0,-1
2016-01-21,1.088875,1.09217,1.077765,1.0874,-1.0,-1.0,-1
2016-01-22,1.087445,1.08767,1.07893,1.079675,-1.0,-1.0,-1
2016-01-25,1.0793,1.085695,1.078955,1.084885,-1.0,-1.0,-1
2016-01-26,1.08495,1.087445,1.081875,1.087065,-1.0,-1.0,-1
2016-01-27,1.086495,1.091695,1.08507,1.089335,-1.0,-1.0,-1
2016-01-28,1.089325,1.096775,1.086975,1.09405,-1.0,-1.0,-1
2016-01-29,1.093925,1.09489,1.081005,1.082985,-1.0,-1.0,-1
2016-02-01,1.083325,1.09129,1.08148,1.088825,-1.0,-1.0,-1
2016-02-02,1.08862,1.094005,1.08862,1.09194,-1.0,-1.0,-1
2016-02-03,1.09167,1.11457,1.090395,1.11051,-1.0,-1.0,-1
2016-02-04,1.109275,1.123905,1.106965,1.12079,-1.0,-1.0,-1
2016-02-05,1.120375,1.125525,1.11091,1.11555,-1.0,-1.0,-1
2016-02-08,1.11455,1.12161,1.10867,1.11932,-1.0,-1.0,-1
2016-02-09,1.11934,1.133825,1.116225,1.129315,-1.0,-1.0,-1
2016-02-10,1.129,1.131165,1.116065,1.1292,-1.0,-1.0,-1
2016-02-11,1.128795,1.137675,1.127405,1.13233,-1.0,-1.0,-1
2016-02-12,1.132275,1.133395,1.12141,1.125425,-1.0,-1.0,-1
2016-02-15,1.124325,1.12515,1.11281,1.11555,-1.0,-1.0,-1
2016-02-16,1.11578,1.119325,1.112425,1.114395,-1.0,-1.0,-1
2016-02-17,1.114325,1.11793,1.110615,1.1128,-1.0,-1.0,-1
2016-02-18,1.11249,1.11497,1.1071,1.11065,-1.0,-1.0,-1
2016-02-19,1.110575,1.11394,1.106665,1.113375,-1.0,-1.0,-1
2016-02-22,1.112,1.112475,1.100315,1.102945,-1.0,-1.0,-1
2016-02-23,1.102975,1.105295,1.099005,1.10192,-1.0,-1.0,-1
2016-02-24,1.101825,1.104655,1.095725,1.10132,-1.0,-1.0,-1
2016-02-25,1.101545,1.104995,1.098685,1.10181,-1.0,-1.0,-1
2016-02-26,1.10262,1.10684,1.091175,1.093455,-1.0,-1.0,-1
2016-02-29,1.091925,1.096275,1.08593,1.087295,-1.0,-1.0,-1
2016-03-01,1.087625,1.08936,1.08342,1.086805,-1.0,-1.0,-1
2016-03-02,1.086475,1.08812,1.08256,1.086835,-1.0,-1.0,-1
2016-03-03,1.08702,1.097295,1.085365,1.095725,-1.0,-1.0,-1
2016-03-04,1.095575,1.10435,1.09033,1.10075,-1.0,-1.0,-1
2016-03-07,1.099295,1.10259,1.094015,1.101415,-1.0,-1.0,-1
2016-03-08,1.10135,1.105795,1.09937,1.101075,-1.0,-1.0,-1
2016-03-09,1.10105,1.103495,1.09461,1.099965,-1.0,-1.0,-1
2016-03-10,1.10005,1.121835,1.082205,1.117715,-1.0,-1.0,-1
2016-03-11,1.118,1.120985,1.10804,1.11495,-1.0,-1.0,-1
2016-03-14,1.113875,1.11767,1.107735,1.1103,-1.0,-1.0,-1
2016-03-15,1.110225,1.11253,1.10719,1.1109,-1.0,-1.0,-1
2016-03-16,1.11072,1.124265,1.105785,1.12245,-1.0,-1.0,-1
2016-03-17,1.122,1.134255,1.120515,1.13182,-1.0,-1.0,-1
2016-03-18,1.131575,1.133705,1.12562,1.12702,-1.0,-1.0,-1
2016-03-21,1.1268,1.12849,1.123445,1.12414,-1.0,-1.0,-1
2016-03-22,1.124,1.125995,1.11887,1.1217,-1.0,-1.0,-1
2016-03-23,1.12165,1.12236,1.115955,1.1181,-1.0,-1.0,-1
2016-03-24,1.11785,1.118815,1.114385,1.11752,-1.0,-1.0,-1
2016-03-25,1.11767,1.11817,1.11543,1.11645,-1.0,-1.0,-1
2016-03-28,1.116005,1.12199,1.115305,1.11959,-1.0,-1.0,-1
2016-03-29,1.119405,1.130355,1.116915,1.129085,-1.0,-1.0,-1
2016-03-30,1.129195,1.136565,1.128365,1.13378,-1.0,-1.0,-1
2016-03-31,1.133575,1.141215,1.13102,1.13801,-1.0,-1.0,-1
2016-04-01,1.138175,1.143805,1.13348,1.139625,-1.0,-1.0,-1
2016-04-04,1.139675,1.14128,1.13575,1.139125,-1.0,-1.0,-1
2016-04-05,1.139045,1.140525,1.133605,1.138445,-1.0,-1.0,-1
2016-04-06,1.138395,1.14319,1.132665,1.139935,-1.0,-1.0,-1
2016-04-07,1.13963,1.14541,1.133765,1.13775,-1.0,-1.0,-1
2016-04-08,1.13755,1.141955,1.134915,1.139885,-1.0,-1.0,-1
2016-04-11,1.141,1.144755,1.137235,1.140805,-1.0,-1.0,-1
2016-04-12,1.14085,1.14649,1.134555,1.13858,-1.0,-1.0,-1
2016-04-13,1.138775,1.139135,1.126855,1.127415,-1.0,-1.0,-1
2016-04-14,1.127825,1.12949,1.123395,1.12678,-1.0,-1.0,-1
2016-04-15,1.1267,1.131715,1.12458,1.12828,-1.0,-1.0,-1
2016-04-18,1.13005,1.13321,1.12738,1.131365,-1.0,-1.0,-1
2016-04-19,1.1314,1.13848,1.13035,1.13575,-1.0,-1.0,-1
2016-04-20,1.13605,1.138825,1.129065,1.12966,-1.0,-1.0,-1
2016-04-21,1.1299,1.13988,1.126925,1.12877,-1.0,-1.0,-1
2016-04-22,1.128575,1.13087,1.12183,1.122625,-1.0,-1.0,-1
2016-04-25,1.12225,1.12783,1.12207,1.12683,-1.0,-1.0,-1
2016-04-26,1.12685,1.133975,1.125645,1.129695,-1.0,-1.0,-1
2016-04-27,1.1298,1.136165,1.127195,1.132145,-1.0,-1.0,-1
2016-04-28,1.1325,1.13681,1.129605,1.135295,-1.0,-1.0,-1
2016-04-29,1.13553,1.14593,1.13492,1.1452,-1.0,-1.0,-1
2016-05-02,1.146125,1.15364,1.14484,1.153215,-1.0,-1.0,-1
2016-05-03,1.1532,1.161645,1.149535,1.149635,-1.0,-1.0,-1
2016-05-04,1.149945,1.152965,1.146635,1.148745,-1.0,-1.0,-1
2016-05-05,1.148975,1.149385,1.138595,1.14051,-1.0,-1.0,-1
2016-05-06,1.140465,1.1482,1.138675,1.140625,-1.0,-1.0,-1
2016-05-09,1.139755,1.14199,1.13753,1.13827,-1.0,-1.0,-1
2016-05-10,1.138125,1.14101,1.135865,1.137245,-1.0,-1.0,-1
2016-05-11,1.137505,1.144665,1.13696,1.142615,-1.0,-1.0,-1
2016-05-12,1.142775,1.14294,1.13706,1.13767,-1.0,-1.0,-1
2016-05-13,1.137575,1.138,1.128255,1.130775,-1.0,-1.0,-1
2016-05-16,1.1306,1.134245,1.13025,1.131985,-1.0,-1.0,-1
2016-05-17,1.131825,1.134895,1.130215,1.13129,-1.0,-1.0,-1
2016-05-18,1.13119,1.131625,1.121435,1.121655,-1.0,-1.0,-1
2016-05-19,1.1218,1.12302,1.118015,1.120285,-1.0,-1.0,-1
2016-05-20,1.120075,1.12378,1.119645,1.122295,-1.0,-1.0,-1
2016-05-23,1.12207,1.124315,1.11877,1.12204,-1.0,-1.0,-1
2016-05-24,1.12205,1.12271,1.11326,1.11409,-1.0,-1.0,-1
2016-05-25,1.114245,1.116725,1.112895,1.115485,-1.0,-1.0,-1
2016-05-26,1.1154,1.121675,1.114955,1.119385,-1.0,-1.0,-1
2016-05-27,1.1193,1.120085,1.111115,1.111185,-1.0,-1.0,-1
2016-05-30,1.11135,1.11448,1.109815,1.11382,-1.0,-1.0,-1
2016-05-31,1.11385,1.117355,1.11223,1.113175,-1.0,-1.0,-1
2016-06-01,1.112875,1.119425,1.111435,1.118835,-1.0,-1.0,-1
2016-06-02,1.119075,1.12202,1.114545,1.115115,-1.0,-1.0,-1
2016-06-03,1.115275,1.137385,1.113685,1.13665,-1.0,-1.0,-1
2016-06-06,1.1368,1.13928,1.132655,1.135515,-1.0,-1.0,-1
2016-06-07,1.135875,1.138055,1.133875,1.13574,-1.0,-1.0,-1
2016-06-08,1.135875,1.14107,1.135465,1.13955,-1.0,-1.0,-1
2016-06-09,1.139675,1.14156,1.13057,1.13161,-1.0,-1.0,-1
2016-06-10,1.131625,1.13216,1.124535,1.125105,-1.0,-1.0,-1
2016-06-13,1.125125,1.130315,1.123235,1.12929,-1.0,-1.0,-1
2016-06-14,1.12925,1.129855,1.11889,1.120745,-1.0,-1.0,-1
2016-06-15,1.120875,1.12989,1.119005,1.125995,-1.0,-1.0,-1
2016-06-16,1.126325,1.129495,1.1131,1.12246,-1.0,-1.0,-1
2016-06-17,1.122825,1.12964,1.122305,1.127725,-1.0,-1.0,-1
2016-06-20,1.13305,1.138265,1.130215,1.13138,-1.0,-1.0,-1
2016-06-21,1.131145,1.13496,1.124195,1.12423,-1.0,-1.0,-1
2016-06-22,1.124525,1.133785,1.12366,1.129665,-1.0,-1.0,-1
2016-06-23,1.131625,1.142145,1.131155,1.138415,-1.0,-1.0,-1
2016-06-24,1.14225,1.143025,1.09118,1.110965,-1.0,-1.0,-1
2016-06-27,1.10295,1.108375,1.09709,1.102615,-1.0,-1.0,-1
2016-06-28,1.102725,1.111185,1.10104,1.106465,-1.0,-1.0,-1
2016-06-29,1.106625,1.11306,1.10494,1.11247,-1.0,-1.0,-1
2016-06-30,1.111955,1.11547,1.102395,1.110635,-1.0,-1.0,-1
2016-07-01,1.11075,1.11695,1.10722,1.11337,-1.0,-1.0,-1
2016-07-04,1.1136,1.115965,1.109795,1.115325,-1.0,-1.0,-1
2016-07-05,1.11525,1.11865,1.10625,1.1076,-1.0,-1.0,-1
2016-07-06,1.107025,1.11117,1.1029,1.11001,-1.0,-1.0,-1
2016-07-07,1.1102,1.110755,1.10526,1.10623,-1.0,-1.0,-1
2016-07-08,1.1063,1.11211,1.10018,1.10528,-1.0,-1.0,-1
2016-07-11,1.104825,1.10747,1.101575,1.1058,-1.0,-1.0,-1
2016-07-12,1.10587,1.112655,1.10522,1.106045,-1.0,-1.0,-1
2016-07-13,1.106325,1.111995,1.10421,1.109045,-1.0,-1.0,-1
2016-07-14,1.109175,1.116485,1.108845,1.11199,-1.0,-1.0,-1
2016-07-15,1.111725,1.114895,1.102525,1.103405,-1.0,-1.0,-1
2016-07-18,1.105025,1.108455,1.103755,1.10754,-1.0,-1.0,-1
2016-07-19,1.10735,1.108045,1.09999,1.102095,-1.0,-1.0,-1
2016-07-20,1.101825,1.103045,1.098155,1.10148,-1.0,-1.0,-1
2016-07-21,1.101005,1.105985,1.09796,1.102545,-1.0,-1.0,-1
2016-07-22,1.102325,1.10411,1.09556,1.09763,-1.0,-1.0,-1
2016-07-25,1.09715,1.099885,1.0952,1.09956,-1.0,-1.0,-1
2016-07-26,1.099325,1.10299,1.09783,1.09865,-1.0,-1.0,-1
2016-07-27,1.098775,1.106485,1.096115,1.10583,-1.0,-1.0,-1
2016-07-28,1.106,1.111965,1.105255,1.107575,-1.0,-1.0,-1
2016-07-29,1.107925,1.119775,1.10727,1.11755,-1.0,-1.0,-1
2016-08-01,1.11675,1.11841,1.115215,1.11624,-1.0,-1.0,-1
2016-08-02,1.1162,1.12338,1.1159,1.122345,-1.0,-1.0,-1
2016-08-03,1.12255,1.122685,1.11407,1.11496,-1.0,-1.0,-1
2016-08-04,1.115,1.11565,1.11139,1.112965,-1.0,-1.0,-1
2016-08-05,1.11285,1.116135,1.10459,1.10874,-1.0,-1.0,-1
2016-08-08,1.1086,1.110495,1.10722,1.108795,-1.0,-1.0,-1
2016-08-09,1.108595,1.112265,1.107045,1.111675,-1.0,-1.0,-1
2016-08-10,1.11165,1.119035,1.11134,1.11758,-1.0,-1.0,-1
2016-08-11,1.117875,1.11918,1.113555,1.113725,-1.0,-1.0,-1
2016-08-12,1.11372,1.122145,1.113135,1.116525,-1.0,-1.0,-1
2016-08-15,1.11685,1.120375,1.11535,1.11835,-1.0,-1.0,-1
2016-08-16,1.11845,1.132255,1.117745,1.127875,-1.0,-1.0,-1
2016-08-17,1.1279,1.131615,1.124095,1.12894,-1.0,-1.0,-1
2016-08-18,1.128775,1.136635,1.12866,1.13537,-1.0,-1.0,-1
2016-08-19,1.135425,1.136005,1.130415,1.1329,-1.0,-1.0,-1
2016-08-22,1.13195,1.13307,1.12711,1.132015,-1.0,-1.0,-1
2016-08-23,1.132225,1.135535,1.130325,1.13055,-1.0,-1.0,-1
2016-08-24,1.13045,1.131155,1.12452,1.126375,-1.0,-1.0,-1
2016-08-25,1.126425,1.129755,1.12593,1.128555,-1.0,-1.0,-1
2016-08-26,1.128405,1.13412,1.11805,1.119575,-1.0,-1.0,-1
2016-08-29,1.118845,1.12079,1.115805,1.11889,-1.0,-1.0,-1
2016-08-30,1.1188,1.11925,1.113205,1.11433,-1.0,-1.0,-1
2016-08-31,1.114425,1.116555,1.112315,1.115785,-1.0,-1.0,-1
2016-09-01,1.115825,1.120535,1.11276,1.119675,-1.0,-1.0,-1
2016-09-02,1.119875,1.125225,1.11504,1.115565,-1.0,-1.0,-1
2016-09-05,1.115625,1.118245,1.113925,1.114755,-1.0,-1.0,-1
2016-09-06,1.114975,1.126325,1.11409,1.125445,-1.0,-1.0,-1
2016-09-07,1.1253,1.127185,1.1229,1.123945,-1.0,-1.0,-1
2016-09-08,1.123975,1.13272,1.12346,1.12599,-1.0,-1.0,-1
2016-09-09,1.126225,1.128505,1.11986,1.123185,-1.0,-1.0,-1
2016-09-12,1.123155,1.126865,1.121045,1.12353,-1.0,-1.0,-1
2016-09-13,1.123725,1.12605,1.120405,1.12202,-1.0,-1.0,-1
2016-09-14,1.1217,1.12741,1.12112,1.125045,-1.0,-1.0,-1
2016-09-15,1.12483,1.128425,1.12191,1.124355,-1.0,-1.0,-1
2016-09-16,1.124375,1.12502,1.114965,1.115975,-1.0,-1.0,-1
2016-09-19,1.11548,1.11978,1.115095,1.11749,-1.0,-1.0,-1
2016-09-20,1.11785,1.121355,1.11501,1.115065,-1.0,-1.0,-1
2016-09-21,1.11535,1.119675,1.11231,1.11885,-1.0,-1.0,-1
2016-09-22,1.1193,1.12574,1.118485,1.120825,-1.0,-1.0,-1
2016-09-23,1.120805,1.124075,1.11939,1.122645,-1.0,-1.0,-1
2016-09-26,1.122795,1.127935,1.12211,1.12543,-1.0,-1.0,-1
2016-09-27,1.125325,1.125895,1.119105,1.121575,-1.0,-1.0,-1
2016-09-28,1.121725,1.123695,1.118195,1.12173,-1.0,-1.0,-1
2016-09-29,1.121775,1.124995,1.119685,1.122195,-1.0,-1.0,-1
2016-09-30,1.122225,1.12508,1.11535,1.12442,-1.0,-1.0,-1
